preco_total,area_util,local,vagas,titulo,endereco,descricao
270000.0,32.0,Asa Norte,0,Comercial - Asa Norte Comercial - Asa Norte,"SCN QUADRA 2 BLOCO D, Asa Norte, Brasília SCN QUADRA 2 BLOCO D, Asa Norte, Brasília","Ed. Liberty Mall Torre A 4º andar, vazia - 41m², excepcional. Salão, recepção, wc, ar condicionado, vista livre. R$ 270.000.Para ver ligue Saback Imóveis F/3445.1105 Av. W2 Sul Qd. 505 Bloco C Loja 22 - 07/02/2019"
3750000.0,2000.0,Goiás,0,Comercial - Ipiranga Comercial - Ipiranga,", Ipiranga, Goiânia , Ipiranga, Goiânia",Excelente Local de Galpão.Sala administrativa.Boas vagas de Garagem.Boa localização.Mais informações:(62) Ver dados(62) Ver dados - 31/10/2018
130000.0,32.0,Asa Norte,0,Comercial à Venda - na Asa Norte Comercial à Venda - na Asa Norte,"Quadra CLN 412 Bloco C, Asa Norte, Brasília Quadra CLN 412 Bloco C, Asa Norte, Brasília","Loja reformada, no subsolo, com banheiro,na SCLN 412 . Sala com banheiro, pia de cozinha, piso em cerâmica e pintura nova. ao lado do Parque Olhos d'Água, próximo a restaurantes, padarias, acesso fácil ao Eixão e L2 norte, próximo a um estacionamento rotativo amplo, próximo a posto de gasolina, ponto de ônibus e escolas. A 10 minutos do Boulevard Shopping, Atacadão, Extra, Walmart, EPIA e Lago Sul. Próximo à Rua da Informática. Boa opção para investimento."
7000000.0,5800.0,Vicente Pires,28,Prédio Vicente Pires Prédio Vicente Pires,"RUA 8, Vicente Pires, Vicente Pires RUA 8, Vicente Pires, Vicente Pires","EXCELENTE PRÉDIO NA VICENTE PIRES 11 APARTAMENTOS DE 3 QUARTOS 22 APARTAMENTOS DE 2 QUARTOS 5 APARTAMENTOS DE 1 QUARTO 2 COBERTURAS 2 LOJAS 28 VAGAS DE GARAGEM 2 ESCRITÓRIOS 5.800M² DE ÁREA CONSTRUÍDA COM ELEVADOR TUDO ALUGADO RENDA: R$ 60.000,00 MENSAIS AGENDE SUA VISITA!!!! (61) Ver dados.0040 (61) 98411.9510"
100000.0,25.0,Asa Sul,0,Sds Bloco O Conic - Ed. Venâncio VI Sds Bloco O Conic - Ed. Venâncio VI,"SDS BLOCO O, Asa Sul, Brasília SDS BLOCO O, Asa Sul, Brasília","Ótima sala no porcelanato, pintura nova e banheiro. Água embutida no condomínio e Luz é individual.Estudamos uma proposta.Agende uma visita:Ver dados FIXOPEDRO NETOVer dados vivo - 30/01/2019"
270000.0,27.0,Asa Sul,0,Vitrium Oportunidade Medica para Você 99829 - 5148 Whtsapp Vitrium Oportunidade Medica para Você 99829 - 5148 Whtsapp,"SGAS 614, Asa Sul, Brasília SGAS 614, Asa Sul, Brasília","VITRIUM OPORTUNIDADE MEDICA PARA VOCÊ Ver dados WHTSAPP Excelentes salas localizadas em um Centro médico Inteligente, com metragens de 29,47 m², 34,11 m², 82,14 m², 98,85 m², 105,83 m², e 113,50 m² A melhor escolha para Clínica ou consultório, Centromédio com internação aprovado pela ANVISA e Corpo de Bombeiros. O empreendimento oferece serviços de Pay-per-use em higienização das clínicas, serviço de manutenção, Courier, conferencie roon, lavanderia Hospitalar, esterilização de instrumentos e coleta de lixo hospitalar. VITRIUM CENTRO MÉDICO INTELIGENTE *** PRONTO PARA RECEBER SUA CLÍNICA/CONSULTÓRIO*** EMAIL Ver dados TELEFONES Ver dados TIM ZAP Ver dados TIM Ver dados OI"
85000.0,45.0,Asa Norte,0,Gm Imóveis Vende Ponto Comercial na Smhn Quadra 02/asa Norte/df Gm Imóveis Vende Ponto Comercial na Smhn Quadra 02/asa Norte/df,"SMHN QUADRA 2 BLOCO A, Asa Norte, Brasília SMHN QUADRA 2 BLOCO A, Asa Norte, Brasília","GM IMÓVEIS VENDE PONTO COMERCIAL NA SMHN QUADRA 02/ASA NORTE/DFOPORTUNIDADE!!PASSAMOS O PONTO DE UMA CAFETEIRA MONTADA, EM PLENO FUNCIONAMENTO, PRÉDIO ANTIGO COM GRANDE TAXA DE OCUPAÇÃO, AO LADO DE OUTROS EDIFÍCIOS COM GRANDE FLUXO DE CLIENTE, NO SETOR MÉDICO HOSPITALAR NORTE. É A ÚNICA CAFETEIRA DO PRÉDIO, COM CLIENTELA FORMADA. INCLUSO NO VALOR DO TREINAMENTO DE TÊS DIAS, SE FOR NECESSÁRIO, NEGÓCIO IDEAL PARA QUEM ESTÁ COMEÇANDO E NÃO QUER CORRER RISCOS. PRÉDIO COM PORTARIA 24 HORAS.QUIOSQUE COM APROXIMADAMENTE 45m².CONDOMÍNIO- R$ 1.100,00NÃO HÁ ALUGUEL.INCLUSOS: UM FREEZER, TRÊS GELADEIRAS, UMA ESTUFA FRIA, UMA ESTUFA QUENTE, UM FORNO, UMA CHAPA, BOMBONIERE DE VIDRO, UMA TELEVISÃO E OS ARMÁRIOS.- LIGUE AGORA!! ! (61) Ver dados- MARQUE UMA VISITA SEM COMPROMISSO COM NOSSOS CONSULTORES.- ATENDIMENTOS DE SEGUNDA A SÁBADO DE 08:00 ÀS 18:00.- DOMINGO DE 09:00 AS 13:00. - 19/06/2018"
1250000.0,250.0,Taguatinga,6,Excelente para Investidor Excelente para Investidor,"QSB 08, Taguatinga Sul, Taguatinga QSB 08, Taguatinga Sul, Taguatinga","Excelente Para Investidor, Imóvel de Esquina na Avenida Sandu, Residencial e Comercial, Com Duas Casas, Sendo a da Frente 04 Quartos um Suíte, Sala, Copa, Cozinha, Área de Serviço e Garagem Para 03 Veículo. Segunda Casa é Um Sobrado nos Fundos, com Seis Quartos, Sendo Dois Suítes, 02 Sala, Cozinha, 02 Banheiro Social e Vaga de Garagem Para 02 Veículo. Contato: (61) Ver dados / Ver dados Whatsapp."
130000.0,45.0,Goiás,0,"03028 - Comercial 1 Dorm, Turista I - Caldas Novas/go 03028 - Comercial 1 Dorm, Turista I - Caldas Novas/go",", Turista I, Caldas Novas , Turista I, Caldas Novas","Apartamento de 1 Quarto no Residencial Eldorado Park em Caldas Novas Apartamento todo mobiliado , sendo 1 quarto , sala , cozinha , banheiro social , lavabo , sacada ampla no 7 ° andar para RUA .Área de lazer com piscinas termais , sauna , academia quadra de esportes , bar , restaurante , recepção 24 horas , estacionamento coberto Localização centro Turístico O valor do imóvel R$ 130.000,00 ACEITA FINANCIAMENTO O valor do condomínio R$ 830,00 incluso água e serviço de quarto . **As informações e a disponibilidade dos imóveis acima são de responsabilidade dos proprietários dos mesmos e poderão ser alteradas a qualquer momento devendo sempre serem confirmadas com a equipe de atendimento Santana Imoveis.** - Última Atualização: 24/01/2019"
4900000.0,1000.0,Asa Sul,0,Comercial - Asa Sul Comercial - Asa Sul,"QUADRA CRS 503 BLOCO B 31, Asa Sul, Brasília QUADRA CRS 503 BLOCO B 31, Asa Sul, Brasília","Prédio comercial, na área central de Brasília, W3 Sul, Quadra 503 Bl B loja 31 acesso 32 pela W2 e acesso 33 pela W3, Bem dividido, em dois lotes, um dos lotes vazado com salas, dois auditórios, garagem subsolo, para 6 carros, sistema de ar condicionado central. Excelente para grandes empresas,partidos políticos, hotel e etc, muito bem localizado, o imóvel oferece um amplo espaço, e muito conforto.O imóvel possui todas as plantas e projetos.Habite-se, devidamente averbado na matrícula do imóvel.ALUGADO:Subsolo: 209,83M²Térreo: 215,50M² ALUGADO:1º Andar: 222,42M²2º Andar: 228,23M²Cobertura: 117,77M² Total: 993,75M² de área útil.Projeto de reforma da fachada, em aprovação da administração de Brasilia. Já fiz os orçamentos para reformar. ( Custo em torno de R$ 30.000,00)ACEITO PERMUTA EM CASA/APARTAMENTO/ TERRENO E CARROS!!!!Valor de venda: R$ 5.500.000,00Valor de Aluguel: R$ 24.000,00 ( Prédio inteiro 993,75M² ) Valor de aluguel: R$ 12.000,00 ( Terreo mais subsolo com auditório 426 M² ) ALUGADO R$ 12.000,00Valor de aluguel: R$ 12.000,00 ( 1º Andar, 2º Andar e cobertura 568 M² )ALUGADO R$ 5.000,00TOTAL DE RENDA DE ALUGUEL: R$ 17.000,00(GLOBO/NETO)"
